observed_on_details.date,species_guess,public_positional_accuracy,quality_metrics,taxon.name,geojson.coordinates,owners_identification_from_vision,identifications_count,num_identification_disagreements,location,place_guess,latitude,longitude
2022-06-03,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.131475555, 51.0631143722]",True,2,0,"[51.0631143722, -2.131475555]","England, GB",51.0631143722,-2.131475555
2021-11-09,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.0652305668, 51.149680619]",True,2,0,"[51.149680619, -2.0652305668]","England, GB",51.149680619,-2.0652305668
2021-11-07,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.0048463892, 51.1342760905]",True,2,0,"[51.1342760905, -2.0048463892]","England, GB",51.1342760905,-2.0048463892
2021-10-17,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.0168576957, 51.1638249404]",True,2,0,"[51.1638249404, -2.0168576957]","England, GB",51.1638249404,-2.0168576957
2021-10-09,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.107910268, 51.1407461816]",True,3,0,"[51.1407461816, -2.107910268]","England, GB",51.1407461816,-2.107910268
2021-07-09,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.1792369735, 51.0163503798]",True,1,0,"[51.0163503798, -2.1792369735]","England, GB",51.0163503798,-2.1792369735
2021-07-09,Asian Lady Beetle,26261.0,[],Harmonia axyridis,"[-2.0492499843, 51.0175991707]",True,1,0,"[51.0175991707, -2.0492499843]","England, GB",51.0175991707,-2.0492499843
2022-10-29,Harlequin Ladybird,31.0,[],Harmonia axyridis,"[-0.0396180153, 51.5357459747]",False,2,0,"[51.5357459747, -0.0396180153]","London, UK",51.5357459747,-0.0396180153
2020-07-19,Harlequin Ladybird,500.0,[],Harmonia axyridis,"[-2.6265462727, 51.4565626535]",False,3,0,"[51.4565626535, -2.6265462727]","Clifton, Bristol, UK",51.4565626535,-2.6265462727
2020-07-19,Harlequin Ladybird,500.0,[],Harmonia axyridis,"[-2.6265462727, 51.4565626535]",True,2,0,"[51.4565626535, -2.6265462727]","Clifton, Bristol, UK",51.4565626535,-2.6265462727
2020-07-19,Harlequin Ladybird,500.0,[],Harmonia axyridis,"[-2.6265462727, 51.4565626535]",False,2,0,"[51.4565626535, -2.6265462727]","Clifton, Bristol, UK",51.4565626535,-2.6265462727
2019-04-21,Asian Lady Beetle,5737.0,[],Harmonia axyridis,"[0.5168605156, 52.5519272826]",True,1,0,"[52.5519272826, 0.5168605156]","Northwold, King's Lynn, England, GB",52.5519272826,0.5168605156
2022-05-22,Harlequin Ladybird,,[],Harmonia axyridis,"[1.08370338, 51.2828143]",True,2,0,"[51.2828143, 1.08370338]","Canterbury, UK",51.2828143,1.08370338
2022-05-08,Harmonia axyridis spectabilis,,[],Harmonia axyridis spectabilis,"[1.08370339, 51.2828143]",True,3,0,"[51.2828143, 1.08370339]","Canterbury, UK",51.2828143,1.08370339
2022-05-06,Harmonia axyridis succinea,,[],Harmonia axyridis succinea,"[1.08370339, 51.2828143]",True,2,0,"[51.2828143, 1.08370339]","Canterbury, UK",51.2828143,1.08370339
2022-05-09,Harmonia axyridis spectabilis,,[],Harmonia axyridis spectabilis,"[1.0994566667, 51.2937016667]",True,2,0,"[51.2937016667, 1.0994566667]","Canterbury, UK",51.2937016667,1.0994566667
2022-05-09,Harmonia axyridis spectabilis,,[],Harmonia axyridis spectabilis,"[1.0925083333, 51.28895]",True,2,0,"[51.28895, 1.0925083333]","Canterbury, UK",51.28895,1.0925083333
2021-11-06,Harlequin Ladybird,3.0,[],Harmonia axyridis,"[-0.5340650943, 51.3317917204]",False,1,0,"[51.3317917204, -0.5340650943]","Woking, UK",51.3317917204,-0.5340650943
2022-05-11,Harlequin Ladybird,,[],Harmonia axyridis,"[1.0720197778, 51.2788953333]",True,1,0,"[51.2788953333, 1.0720197778]","Canterbury, UK",51.2788953333,1.0720197778
2022-05-11,Harlequin Ladybird,,[],Harmonia axyridis,"[1.0720197778, 51.2788953333]",True,1,0,"[51.2788953333, 1.0720197778]","Canterbury, UK",51.2788953333,1.0720197778
2022-05-06,Harlequin Ladybird,,[],Harmonia axyridis,"[1.08784765, 51.28783078]",True,1,0,"[51.28783078, 1.08784765]","Canterbury, UK",51.28783078,1.08784765
2021-07-20,Harmonia axyridis conspicua,26196.0,[],Harmonia axyridis conspicua,"[-3.5335302473, 51.4120817081]",False,2,0,"[51.4120817081, -3.5335302473]","Wales, GB",51.4120817081,-3.5335302473
2022-06-02,Harlequin Ladybird,357.0,[],Harmonia axyridis,"[-2.6290218854, 53.7710111386]",False,2,0,"[53.7710111386, -2.6290218854]","Lancashire, UK",53.7710111386,-2.6290218854
2022-01-05,Harlequin Ladybird,674.0,[],Harmonia axyridis,"[-2.6845274618, 53.6729409951]",False,2,0,"[53.6729409951, -2.6845274618]","Euxton, UK",53.6729409951,-2.6845274618
2019-09-04,Asian Lady Beetle,24.0,[],Harmonia axyridis,"[-2.0610666667, 51.8924783333]",True,1,0,"[51.8924783333, -2.0610666667]","Strickland Road, Cheltenham, England, GB",51.8924783333,-2.0610666667
2020-07-12,Harmonia axyridis conspicua,16.0,[],Harmonia axyridis conspicua,"[-1.8111133333, 52.5902116667]",False,3,0,"[52.5902116667, -1.8111133333]","Willmott Road, Sutton Coldfield, England, GB",52.5902116667,-1.8111133333
2022-10-26,Harmonia axyridis conspicua,24.0,[],Harmonia axyridis conspicua,"[-1.2388136681, 51.7457088909]",False,1,0,"[51.7457088909, -1.2388136681]","Regent St, Oxford, England, GB",51.7457088909,-1.2388136681
2022-04-11,Harlequin Ladybird,,[],Harmonia axyridis,"[1.08370846, 51.28281266]",True,1,0,"[51.28281266, 1.08370846]","Canterbury, UK",51.28281266,1.08370846
2020-11-24,Harlequin Ladybird,12.0,[],Harmonia axyridis,"[-0.937977545, 51.4438463905]",False,1,0,"[51.4438463905, -0.937977545]","Earley, Reading RG6 6BQ, UK",51.4438463905,-0.937977545
2021-07-04,Asian Lady Beetle,176.0,[],Harmonia axyridis,"[-0.583542, 51.2735137]",False,2,0,"[51.2735137, -0.583542]","Worplesdon, Guildford, Jacobs Well, Guildford GU4 7PZ",51.2735137,-0.583542
2022-07-12,Harlequin Ladybird,8.0,[],Harmonia axyridis,"[-2.3346750684, 51.3911700409]",False,2,0,"[51.3911700409, -2.3346750684]","Claverton Down, Bath BA2, UK",51.3911700409,-2.3346750684
2021-06-30,Asian Lady Beetle,32.0,[],Harmonia axyridis,"[-1.5871783333, 51.658455]",True,1,0,"[51.658455, -1.5871783333]","Gloucester St, Faringdon, England, GB",51.658455,-1.5871783333
2021-10-10,Asian Lady Beetle,,[],Harmonia axyridis,"[-3.5312290167, 50.7193621667]",True,1,0,"[50.7193621667, -3.5312290167]","Exeter, UK",50.7193621667,-3.5312290167
2021-09-11,Asian Lady Beetle,200.0,[],Harmonia axyridis,"[-4.1484115333, 50.3819093833]",True,1,0,"[50.3819093833, -4.1484115333]","Plymouth, UK",50.3819093833,-4.1484115333
2020-07-29,Asian Lady Beetle,47.0,[],Harmonia axyridis,"[-2.6503279261, 53.7350082405]",True,1,0,"[53.7350082405, -2.6503279261]","Brown Lane, Preston, England, GB",53.7350082405,-2.6503279261
2021-11-11,Harlequin Ladybird,15.0,[],Harmonia axyridis,"[-0.7590242218, 51.2328086374]",False,1,0,"[51.2328086374, -0.7590242218]","Badshot Lea, Farnham, UK",51.2328086374,-0.7590242218
2020-09-03,Harlequin Ladybird,26036.0,[],Harmonia axyridis,"[-1.0285745828, 52.5079387696]",False,1,0,"[52.5079387696, -1.0285745828]","Leicestershire, England, GB",52.5079387696,-1.0285745828
2022-04-12,Asian Lady Beetle,,[],Harmonia axyridis,"[-2.0154361111, 54.9767277778]",,2,0,"[54.9767277778, -2.0154361111]","Corbridge, UK",54.9767277778,-2.0154361111
2021-05-28,Harlequin Ladybird,,[],Harmonia axyridis,"[0.4621999722, 52.7449683889]",False,1,0,"[52.7449683889, 0.4621999722]","Norfolk, UK",52.7449683889,0.4621999722
2018-09-26,Harlequin Ladybird,18.0,[],Harmonia axyridis,"[-1.9657567888, 52.4679244144]",True,2,0,"[52.4679244144, -1.9657567888]","Knightlow Rd, Harborne, Birmingham B17 8QL, UK",52.4679244144,-1.9657567888
